SMILES,N2
CC(C)(C)C1=CC(=CC(=C1)C(=O)OC1=C(Br)C=C(C=C1Br)C1(C2C=CC=CC2C2C=CC=CC12)C1=CC(Br)=C(O*)C(Br)=C1)C(*)=O,2.895
CC(C)(C)C1=CC(=CC(=C1)C(=O)OC1=C(Br)C=C(C=C1Br)C1(OC(=O)C2=C1C=CC=C2)C1=CC(Br)=C(O*)C(Br)=C1)C(*)=O,1.19
CC(C)(C)C1=CC(=CC(=C1)C(=O)OC1=C(Br)C=C(C=C1Br)C1(OC(=O)C2C=CC=CC12)C1=CC(Br)=C(O*)C(Br)=C1)C(*)=O,1.28
CC(C)(C)C1=CC(=CC(OP(Cl)(*)=NP(OC2=CC(=CC(=C2)C(C)(C)C)C(C)(C)C)(OC2=CC(=CC(=C2)C(C)(C)C)C(C)(C)C)=N*)=C1)C(C)(C)C,3.0
CC(C)(C)C1=CC(OC2=CC=C(C=C2)C(=O)C2=CC=C(*)C=C2)=CC=C1O*,0.217
CC(C)(C)C1=CC(OC2=CC=C(C=C2)C(=O)NC2=CC=C(C=C2)C(C)(C)C2=CC=C(N*)C=C2)=C(C=C1OC1=CC=C(C=C1)C(*)=O)C(C)(C)C,0.46
CC(C)(C)C1=CC(OC2=CC=C(C=C2)C(=O)NC2=CC=C(C=C2)C(C2=CC=C(N*)C=C2)(C(F)(F)F)C(F)(F)F)=C(C=C1OC1=CC=C(C=C1)C(*)=O)C(C)(C)C,1.51
CC(C)(C)C1=CC2=C(C=C1)C1=C(C=C(C=C1)C(C)(C)C)C2(C1=CC=C(*)C=C1)C1=CC=C(C=C1)N1C(=O)C2=C(C=C(C=C2)C(C2=CC3=C(C=C2)C(=O)N(*)C3=O)(C(F)(F)F)C(F)(F)F)C1=O,14.1
CC(C)(C)C1=CC=C(C=C1)C(*)=C(*)C1=CC=C(C=C1)S(O)(=O)=O,11.0
CC(C)(C)C1=CC=C(C=C1)C(*)=C(*)C1=CC=C(O)C=C1,23.0
CC(C)(C)C1=CC=C(C=C1)C(*)=C(*)C1=CC=C(O[Si](C)(C)C(C)(C)C)C=C1,210.0
CC(C)(C)C1=CC=C(C=C1)C(*)=C(*)C1=CC=CC(O)=C1,210.0
CC(C)(C)C1=CC=C(C=C1)C(*)=C(*)C1=CC=CC(O[Si](C)(C)C(C)(C)C)=C1,1300.0
CC(C)(C)C1=CC=C(C=C1)C(*)=C(*)C1=CC=CC=C1,930.0
CC(C)(C)C1=CC=C(C=C1)C(*)C*,8.4
CC(C)(C)C1=CC=C(C=C1)C1=CC=C(C=C1)C(*)=C(*)C1=CC=C(C=C1)[Si](C)(C)C,250.0
CC(C)(C)C1=CC=C(C=C1)C1=CC=C(C=C1)C(*)=C(*)C1=CC=CC=C1,70.5
CC(C)(C)C1=CC=C(OC2=CC3=C(C=C2C2=C(OC4=CC=C(C=C4)C(C)(C)C)C=C4C(=O)N(C(=O)C4=C2)C2=CC=C(OC4=CC=C(*)C=C4)C=C2)C(=O)N(*)C3=O)C=C1,2.95
CC(C)(C)C1=CC=C(OP(*)(OC2=CC=C(C=C2)C(C)(C)C)=N*)C=C1,2.4
CC(C)(C)COP(*)(OCC(C)(C)C)=N*,3.46
CC(C)(C)OC(=O)C(*)C(*)C(=O)OC1CCCCC1,5.0
CC(C)(C)OC(=O)C(C)(*)C*,0.768
CC(C)(C)[Si](C)(C)C1=CC(*)=CC=C1\C=C\*,1.5
CC(C)(C)[Si](C)(C)OC1=CC(=CC=C1)C(*)=C(*)C1=CC=C(C=C1)[Si](C)(C)C,430.0
CC(C)(C)[Si](C)(C)OC1=CC=C(C=C1)C(*)=C(*)C1=CC=C(C=C1)[Si](C)(C)C,390.0
CC(C)(C)[Si](C)(C)OC1=CC=C(C=C1)C(*)=C(*)C1=CC=C(F)C=C1,55.0
CC(C)(C)[Si](C)(C)OC1=CC=CC(=C1)C(*)=C*,7.6
CC(C)(C1=CC(=C(OC2=CC=C(C=C2)S(=O)(=O)C2=CC=C(O*)C=C2)C=C1)C(O)(C(F)(F)F)C(F)(F)F)C1=CC=C(*)C(=C1)C(O)(C(F)(F)F)C(F)(F)F,0.22
CC(C)(C1=CC(Br)=C(*)C(Br)=C1)C1=CC(Br)=C(OC(=O)O*)C(Br)=C1,0.191
CC(C)(C1=CC(Br)=C(O*)C(Br)=C1)C1=CC(Br)=C(OC(=O)C2=CC=CC(=C2)C(*)=O)C(Br)=C1,0.179
CC(C)(C1=CC(Cl)=C(*)C(Cl)=C1)C1=CC(Cl)=C(OC(=O)O*)C(Cl)=C1,0.36
CC(C)(C1=CC2C(C=C1)C(=O)N(C2=O)C1=CC=C(O*)C=C1)C1=CC=C2C(=C)N(C(=C)C2=C1)C1=CC=C(OC2=CC=C(C=C2)C(=O)C2=CC=C3C(=C2)C(C)(C)CC3(C)C2=CC=C(C=C2)C(=O)C2=CC=C(*)C=C2)C=C1,0.33
CC(C)(C1=CC2N=C(*)OC2C=C1)C1=CC=C2OC(=NC2=C1)C1=CC=C(C=C1)C(=O)C1=CC=C(*)C=C1,0.12
CC(C)(C1=CC=C(*)C=C1)C1=CC(=CC=C1)N1C(=O)C2=CC=C(C=C2C1=O)C(C1=CC=C2C(=O)N(*)C(=O)C2=C1)(C(F)(F)F)C(F)(F)F,0.473
CC(C)(C1=CC=C(*)C=C1)C1=CC(CN)=C(OC2=CC=C(C=C2)S(=O)(=O)C2=CC=C(O*)C=C2)C=C1,0.11
CC(C)(C1=CC=C(*)C=C1)C1=CC(CN2C(=O)C3=C(C=CC=C3)C2=O)=C(OC2=CC=C(C=C2)S(=O)(=O)C2=CC=C(O*)C=C2)C=C1,0.08
CC(C)(C1=CC=C(*)C=C1)C1=CC(N)=C(OC2=CC=C(C=C2)S(=O)(=O)C2=CC=C(O*)C=C2)C=C1,0.12
CC(C)(C1=CC=C(*)C=C1)C1=CC=C(C=C1)C1=NC2=C(N1)C=CC(=C2)C1=CC2=C(NC(*)=N2)C=C1,0.13
